episode,timestep,reward,cumulative reward
5,2053,177.774,117.527
10,4065,162.384,125.865
15,5843,198.735,127.286
20,7884,99.740,131.174
25,9972,168.848,136.037
30,12119,181.177,142.935
35,14252,161.211,147.673
40,16393,186.899,151.095
45,18468,174.516,154.704
50,20572,141.321,156.887
55,22741,161.398,159.843
60,24889,138.436,161.139
65,27050,175.254,162.234
70,29229,190.319,164.874
75,31629,203.172,167.322
80,33979,206.956,169.356
85,36110,195.859,170.730
90,38310,188.939,171.787
95,40469,184.875,172.698
100,42476,202.008,171.846
105,44752,198.157,173.223
110,47013,191.699,174.391
115,49233,210.531,175.456
120,51449,180.577,175.412
125,53681,204.139,176.527
130,55960,204.736,177.601
135,58138,188.166,178.032
140,60362,178.225,178.627
145,62495,174.686,178.839
150,64631,173.172,178.913
155,66835,191.201,179.367
160,69058,190.292,180.119
165,71243,201.206,180.453
170,73484,181.058,180.812
175,75655,185.079,181.264
180,77754,142.798,181.160
185,79858,163.874,181.362
190,81936,177.204,181.696
195,84081,185.260,181.868
200,86233,186.711,182.151
205,88348,186.266,182.331
210,90478,190.601,182.485
215,92631,198.283,182.560
220,94736,177.784,182.782
225,96998,186.310,182.759
230,99180,204.931,183.052
235,101344,221.554,183.622
240,103557,183.787,184.039
245,105713,196.057,184.390
250,107888,207.906,184.674
255,110021,183.179,184.950
260,112243,213.887,185.328
265,114780,252.070,186.088
270,117088,181.198,186.644
275,119361,213.829,186.872
280,121778,213.503,187.378
285,124187,180.273,187.800
290,126556,184.223,188.073
295,129003,154.891,188.665
300,131521,233.154,189.343
305,133801,188.920,189.917
310,135984,184.676,190.173
315,138606,253.107,191.069
320,140959,228.927,191.563
325,143590,255.963,192.382
330,146103,194.263,192.858
335,148854,281.886,193.736
340,151581,247.832,194.616
345,154119,238.382,195.255
350,156624,208.651,195.788
355,159328,273.694,196.571
360,162192,291.318,197.254
365,163677,42.937,195.345
370,164806,70.308,193.069
